Country,Country Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,1.542019924,-4.023940656,-7.003496639,-5.746497363,,,,,,,,
Afghanistan,AFG,2.200612989,10.64918383,1.040489085,17.951089,5.425967848,2.87964757,10.75025221,0.512509234,-0.526844937,-1.628298135,-0.349412121,0.071666099
Angola,AGO,14.82046663,18.87579676,9.832697419,-1.175597203,-0.175344168,0.230111586,1.499648172,3.135078649,1.117470531,-0.471271613,-4.098055833,-2.561034463
Albania,ALB,6.098291609,6.703337826,4.560117915,4.051449403,4.226218994,2.826409979,1.587602059,1.185969096,1.985307816,2.516852808,3.517531232,3.936912883
Andorra,AND,1.794873028,-2.007177578,-9.874044945,-4.375954796,-5.344256802,-3.85184552,-0.039744005,2.392514348,4.298113762,2.404977175,2.855529171,2.291463752
Arab World,ARB,4.014657436,2.05126727,3.236465499,-1.935868065,2.291481405,1.22782551,4.291237149,0.866009638,0.262691673,1.135283666,0.9398678,-0.770408387
United Arab Emirates,ARE,-4.043543455,-10.50796174,-9.533910251,-14.7863097,-5.820719174,1.976250918,1.808335779,3.819127535,3.655154373,4.107110948,1.707309749,-0.609202845
Argentina,ARG,6.918027086,7.885851981,2.995167422,-6.880148575,8.99143796,4.902125244,-2.060574637,1.338452934,-3.514195982,1.698944824,-2.784592111,1.879661216
Armenia,ARM,14.06880742,14.73596617,7.812918694,-13.56639792,2.600408784,4.762989356,6.964131302,2.886337179,3.146882343,2.820378822,-0.069477877,7.29332355
American Samoa,ASM,-3.401960784,3.278954291,-1.122713232,-2.869663016,1.507615499,0.868398308,-4.236589224,-2.891893615,0.708165714,1.065742541,-2.728006298,
Antigua and Barbuda,ATG,11.42022209,7.968121775,-1.216003895,-13.1434878,-8.258791785,-3.16146476,2.375038781,-1.17311619,3.984750585,2.968827497,4.257367279,2.274423597
Australia,AUS,1.328328248,3.131075041,1.60111924,-0.156446162,0.477801449,1.037363899,2.053467514,0.850507462,0.995200378,0.863570579,1.298224785,0.348880361
Austria,AUT,2.943417059,3.391730702,1.143308632,-4.016342341,1.592578041,2.57644867,0.22244938,-0.562299551,0.043786683,-0.035049819,0.359739595,2.18677558
Azerbaijan,AZE,33.03048728,23.63913264,8.470613513,7.162544171,3.6141875,-1.229479184,0.850986009,4.437066291,0.734739796,-0.097168804,-4.177171998,-0.96182397
Burundi,BDI,1.923950194,1.298480137,1.559960517,0.095055049,0.496039555,1.005128644,0.936613298,1.538267388,1.575577474,-6.817656621,-3.639518164,-2.627823684
Belgium,BEL,1.83227715,2.692098469,-0.009854203,-3.036489674,1.809776856,0.396258392,-0.490304014,-0.288318453,1.056141338,0.840941581,0.900139187,1.366164637
Benin,BEN,0.97833194,3.004341023,1.969729383,-0.505468043,-0.715295405,0.1163546,1.925340623,4.240192726,3.433603606,-0.696393361,1.13109189,2.717830181
Burkina Faso,BFA,3.124174132,2.520320923,4.097478797,-0.107397784,2.23944175,3.466316511,3.309381877,2.684958268,1.282015532,0.884824982,2.880813535,3.700834877
Bangladesh,BGD,5.250557826,5.769918609,4.826436822,3.893892784,4.396111941,5.245005217,5.279833222,4.772796389,4.840840706,5.365749925,5.96268914,6.164787475
Bulgaria,BGR,7.689165792,8.136615286,6.768693063,-2.962963764,1.993279538,2.57051343,0.612051095,1.428219872,1.906338412,4.280724784,4.672684707,4.32022261
Bahrain,BHR,-1.223851718,0.192968424,-1.256630472,-3.555267427,-0.360154395,-1.000610284,1.981224226,4.198862721,2.711193193,0.20331975,-0.645399996,-0.807158715
"Bahamas, The",BHS,0.507905951,-0.479092903,-4.102258159,-5.844097593,-0.142879802,-0.961477779,1.570750994,-1.783467958,-1.435823443,-0.174617963,-2.793692967,0.377819871
Bosnia and Herzegovina,BIH,5.435969151,5.881943145,5.874914815,-2.548494805,1.531306687,1.864831722,0.283762753,3.575908707,2.255777784,3.952472071,3.705577718,3.319269563
Belarus,BLR,10.67558665,9.099459986,10.58130516,0.423651119,7.977492475,5.737692347,1.824659578,1.007955665,1.631675129,-3.982647673,-2.648713997,2.353598963
Belize,BLZ,1.895579088,-1.491000368,0.612759462,-1.777689555,0.857375506,-0.248343185,1.486348668,-1.475477238,1.82265368,1.601155342,-2.565462511,-1.196906429
Bermuda,BMU,4.94027207,2.267374058,0.929051522,-5.808003155,-1.324384803,-2.501103308,-5.178203827,-2.815614911,,,,
Bolivia,BOL,3.014237198,2.813307964,4.396898906,1.674131284,2.452273858,3.53285763,3.472792957,5.140099428,3.844087843,3.267949173,2.701313052,2.651663016
